Sample in Buffer,Sample in Window,TRIGGER,cos_500kHz[15:0],cos_1MHz[15:0],cos_2MHz[15:0],cos_2_8MHz_wc[15:0],outputCos[17:0],filteredCos[18:0]
0,0,0,16384,14193,8193,14848,-9259,-2788
1,1,0,15823,16384,16384,29952,40376,-4755
2,2,0,14183,14183,8188,-8960,58063,5933
3,3,0,11578,8182,-8196,-31744,14361,19707
4,4,0,8182,-13,-16385,2048,-18124,20833
5,5,0,4230,-8205,-8191,32256,6126,13697
6,6,0,-13,-14197,8193,5120,30335,13516
7,7,0,-4254,-16385,16384,-31232,56,19410
8,8,0,-8205,-14189,8188,-11264,-39583,16997
9,9,0,-11596,-8189,-8196,28928,-24517,4976
10,10,0,-14197,3,-16385,17664,11188,-1776
11,11,0,-15830,8197,-8191,-25088,-629,1243
12,12,0,-16385,14193,8193,-22528,-38868,930
13,13,0,-15826,16384,16384,20736,-29769,-8904
14,14,0,-14189,14183,8188,27136,17198,-15234
15,15,0,-11584,8182,-8196,-14848,22085,-9031
16,16,0,-8189,-13,-16385,-29952,-24390,-2381
17,17,0,-4238,-8205,-8191,8960,-42245,-8181
18,18,0,3,-14197,8193,31744,-1429,-17720
19,19,0,4245,-16385,16384,-2048,26696,-15863
20,20,0,8197,-14189,8188,-32256,-1900,-7207
21,21,0,11589,-8189,-8196,-5120,-29107,-6782
22,22,0,14193,3,-16385,31232,325,-13211
23,23,0,15827,8197,-8191,11264,41329,-11479
24,24,0,16384,14193,8193,-28928,29141,288
25,25,0,15823,16384,16384,-17664,-3400,7537
26,26,0,14183,14183,8188,25088,10447,5744
27,27,0,11578,8182,-8196,22528,48409,7637
28,28,0,8182,-13,-16385,-20736,36148,18784
29,29,0,4230,-8205,-8191,-27136,-16658,25473
30,30,0,-13,-14197,8193,14848,-29057,18124
31,31,0,-4254,-16385,16384,29952,9784,8594
32,32,0,-8205,-14189,8188,-8960,21601,9965
33,33,0,-11596,-8189,-8196,-31744,-22213,14119
34,34,0,-14197,3,-16385,2048,-49484,6800
35,35,0,-15830,8197,-8191,32256,-16245,-6421
36,36,0,-16385,14193,8193,5120,18476,-9680
37,37,0,-15826,16384,16384,-31232,-2121,-3851
38,38,0,-14189,14183,8188,-11264,-34770,-3900
39,39,0,-11584,8182,-8196,28928,-16315,-12105
40,40,0,-8189,-13,-16385,17664,19386,-14671
41,41,0,-4238,-8205,-8191,-25088,5371,-7991
42,42,0,3,-14197,8193,-22528,-35477,-5650
43,43,0,4245,-16385,16384,20736,-27576,-13813
44,44,0,8197,-14189,8188,27136,20884,-18981
45,45,0,11589,-8189,-8196,-14848,30285,-11388
46,46,0,14193,3,-16385,-29952,-9403,-2394
47,47,0,15827,8197,-8191,8960,-19855,-4446
48,48,0,16384,14193,8193,31744,26837,-8854
49,49,0,15823,16384,16384,-2048,57272,-1038
50,50,0,14183,14183,8188,-32256,26063,13409
51,51,0,11578,8182,-8196,-5120,-8935,18248
52,52,0,8182,-13,-16385,31232,8500,13733
53,53,0,4230,-8205,-8191,11264,35310,14141
54,54,0,-13,-14197,8193,-28928,9343,21200
55,55,0,-4254,-16385,16384,-17664,-33992,20885
56,56,0,-8205,-14189,8188,25088,-26015,9776
57,57,0,-11596,-8189,-8196,22528,11835,2050
58,58,0,-14197,3,-16385,-20736,4788,4752
59,59,0,-15830,8197,-8191,-27136,-39029,5355
60,60,0,-16385,14193,8193,14848,-40916,-5072
61,61,0,-15826,16384,16384,29952,7607,-14667
62,62,0,-14189,14183,8188,-8960,26414,-10932
63,63,0,-11584,8182,-8196,-31744,-14011,-2962
64,64,0,-8189,-13,-16385,2048,-41286,-6095
65,65,0,-4238,-8205,-8191,32256,-10245,-15655
66,66,0,3,-14197,8193,5120,21867,-16260
67,67,0,4245,-16385,16384,-31232,72,-8761
68,68,0,8197,-14189,8188,-11264,-31084,-7648
69,69,0,11589,-8189,-8196,28928,-8115,-14463
70,70,0,14193,3,-16385,17664,34373,-14684
71,71,0,15827,8197,-8191,-25088,27761,-4256
72,72,0,16384,14193,8193,-22528,-7211,3216
73,73,0,15823,16384,16384,20736,3000,1011
74,74,0,14183,14183,8188,27136,48847,1634
75,75,0,11578,8182,-8196,-14848,50457,13641
76,76,0,8182,-13,-16385,-29952,-1228,24550
77,77,0,4230,-8205,-8191,8960,-25874,21174
78,78,0,-13,-14197,8193,31744,7039,12058
79,79,0,-4254,-16385,16384,-2048,26680,12310
80,80,0,-8205,-14189,8188,-32256,-10399,17441
81,81,0,-11596,-8189,-8196,-5120,-45509,12661
82,82,0,-14197,3,-16385,31232,-22860,-299
